,interview__id,dcode,gtcode,gtname,clcode,clname,EA,EAname,hhmem,as1__101,as1__102,as1__103,as1__104,as1__105,as1__106,as1__107,as1__108,as1__109,as1__110,as1__111,as1__112,as1__113,as1__114,as1__115,as1__116,as1__117,as1__118,as1__119,as1__120,as1__121,as1__122,as1__123,as1__124,as1__125,as1__126,as1__127,as1__128,as1__129,as1__130,as1__131,as1__132,as2__1,as2__2,as2__3,as2__4,as2__5,as2__6,as2__7,as2__8,as2__9,as2_1,as2_2,as2_3,as2_4,as2_5,as2_6,as2_7,as2_8,as2_9,as2a,as2b,as3_1__1,as3_1__2,as3_1__3,as3,as3a,as3b,as3c,tot_wetland,as3d,as4,as4a,as4b,as4c,as4d,as5,as6a,as6b,a,area,weights
0,5c41fb302fbc4bcabe8edf11758373eb,1,1,Chhoekhor,1,Dawathang_Dorjibi_ Kashingtsawa,1,from dorjibi till pangri village,4.0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,,,,,,,,,2,,0,1,0,,,,,,0.0,2.12,0.6,0.0,1.52,0.0,,2,,,2.0,7.629248658318435
1,62ea2efe29734a08b881bcdfb80a8fe5,1,1,Chhoekhor,1,Dawathang_Dorjibi_ Kashingtsawa,1,from dorjibi till pangri village,9.0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0.0,0,0,0,0,0,,,6.0,,,,,,,2,,0,1,0,,,,,,0.0,0.5,0.5,,,0.7,,2,,,2.0,7.629248658318435
2,04e7e6611153432b98b593edb452d591,1,1,Chhoekhor,1,Dawathang_Dorjibi_ Kashingtsawa,1,from dorjibi till pangri village,4.0,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0,,,1.0,,,,,,,2,,0,1,1,,,,,,0.0,0.76,0.76,,,0.0,0.2,2,,,2.0,7.629248658318435
3,bb7eadc9d46246d78b6e1111f81c4168,1,1,Chhoekhor,1,Dawathang_Dorjibi_ Kashingtsawa,1,from dorjibi till pangri village,4.0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,,,,,,,,,2,,0,1,0,,,,,,0.0,1.48,0.3,0.0,1.18,0.0,,2,,,2.0,7.629248658318435
4,aca5278d8371411fa202346570a981cd,1,1,Chhoekhor,1,Dawathang_Dorjibi_ Kashingtsawa,1,from dorjibi till pangri village,4.0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,,,,,,,,,2,,0,1,0,,,,,,0.0,0.56,0.56,,,0.0,,2,,,2.0,7.629248658318435
5,0295bffca4da487ba7249ef46a3afb76,1,1,Chhoekhor,1,Dawathang_Dorjibi_ Kashingtsawa,1,from dorjibi till pangri village,4.0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0.0,0,0,0,0,0,,,,,,,,,,2,,0,1,0,,,,,,0.0,0.63,0.39,0.0,0.24,0.0,,1,240000.0,,2.0,7.629248658318435
6,0ab82a73c30141c590a744250b723141,1,1,Chhoekhor,1,Dawathang_Dorjibi_ Kashingtsawa,1,from dorjibi till pangri village,4.0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,,,5.0,,,,,,,2,,0,1,0,,,,,,0.0,6.0,1.0,0.0,5.0,0.0,,2,,,2.0,7.629248658318435
7,ad4f569e55c84e2ca7143b10cfc62ba3,1,1,Chhoekhor,1,Dawathang_Dorjibi_ Kashingtsawa,1,from dorjibi till pangri village,7.0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0.0,0,0,0,0,0,,,6.0,,,,,,,2,,0,1,0,,,,,,2.0,5.0,4.0,0.0,1.0,0.0,,2,,,2.0,7.629248658318435
8,c724f8f4fc39458da853e3318536a0d8,1,1,Chhoekhor,1,Dawathang_Dorjibi_ Kashingtsawa,1,from dorjibi till pangri village,10.0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0.0,0,0,0,0,0,,,7.0,,,,,,,2,,0,1,0,,,,,,0.0,1.0,1.0,,,0.0,,2,,,2.0,7.629248658318435
9,a365aa10ebd74a85a00a9184a01e3daf,1,1,Chhoekhor,1,Dawathang_Dorjibi_ Kashingtsawa,1,from dorjibi till pangri village,4.0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0.0,0,0,0,0,0,,,7.0,,,,,,,2,,0,1,1,,,,,,0.0,4.0,1.5,0.0,2.5,0.0,0.7,2,,,2.0,7.629248658318435
